wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
440.0,0.9276363636363637,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.0,0.8744268194674928,0.897359860952364,0.0,0.0
445.0,0.9270363636363637,0.992,0.992,0.992,0.0,0.8881196475835692,0.9049650072482909,0.0,0.0
450.0,0.926727272727273,0.991,0.991,0.991,0.0,0.8981815858244692,0.9019301555067275,0.0,0.0
455.0,0.926418181818182,0.988,0.988,0.988,0.0,0.9075001618734296,0.8934657390766547,0.0,0.0
460.0,0.9258181818181821,0.992,0.992,0.992,0.0,0.9178073130971255,0.9037758285265457,0.0,0.0
465.0,0.9254545454545456,0.991,0.991,0.991,0.0,0.9216574465486516,0.9006914835254547,0.0,0.0
470.0,0.9251272727272728,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.0,0.9171506443140637,0.9085746957361458,0.0,0.0
475.0,0.9247272727272728,0.995,0.995,0.995,0.0,0.9171378044216576,0.9109256025909092,0.0,0.0
480.0,0.924509090909091,0.995,0.995,0.995,0.0,0.9295517792540732,0.9107106771636364,0.0,0.0
485.0,0.9243636363636364,0.992,0.992,0.992,0.0,0.9397866602262254,0.9023559136349091,0.0,0.0
490.0,0.9242545454545454,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.0,0.9381163543430999,0.9077175834882911,0.0,0.0
495.0,0.9228000000000001,0.992,0.992,0.992,0.0,0.9325915320677318,0.9008295051264,0.0,0.0
500.0,0.921818181818182,0.996,0.996,0.996,0.0,0.9227965284321192,0.9108005519127275,0.0,0.0
505.0,0.9222363636363637,0.993,0.993,0.993,0.0,0.9150155536339414,0.9030046524183818,0.0,0.0
510.0,0.9215636363636365,0.99,0.99,0.99,0.0,0.9113747780070178,0.8941922748000001,0.0,0.0
515.0,0.9212545454545455,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.0,0.9062310978009717,0.9047712601362913,0.0,0.0
520.0,0.9209454545454546,0.995,0.995,0.995,0.0,0.8946624898997171,0.9072002285181818,0.0,0.0
525.0,0.9208181818181819,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.0,0.8836165138896684,0.904342704012364,0.0,0.0
530.0,0.9206181818181819,0.995,0.995,0.995,0.0,0.873414302237744,0.9068778403772728,0.0,0.0
535.0,0.919290909090909,0.992,0.992,0.992,0.000214,0.8635881160062875,0.8974039604503273,0.00018480785682534553,0.00016584730263740214
540.0,0.9186181818181818,0.991,0.991,0.991,0.007248,0.8521362642394399,0.8940380454546181,0.006176283643207461,0.005521832556546526
