wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_Kepler,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
860.0,0.8749818181818181,0.983,0.983,0.983,0.90873668486517,0.9706244940048074,0.37801552604698674,0.7552620144348001,0.3669111286953176,0.2771140381769718
865.0,0.8779090909090908,0.983,0.983,0.983,0.9087961354855555,0.9638054144837621,0.36944641653561,0.7578383371079425,0.35607445661864423,0.2698468740904875
870.0,0.8799636363636364,0.982,0.982,0.982,0.9088471329109453,0.9530579215087754,0.3605325342465754,0.7573384920681634,0.34360838772533253,0.26022785822187616
875.0,0.8822727272727272,0.981,0.981,0.981,0.9088907653878302,0.9136987750718838,0.35206372549019616,0.7570447771179377,0.3216801947276362,0.24352631132083816
880.0,0.8865454545454544,0.981,0.981,0.981,0.90892803628379,0.8006123217607137,0.3424578180818907,0.7607422368841444,0.27417594883965063,0.20857722462010855
885.0,0.8885090909090908,0.981,0.981,0.981,0.9089598662723902,0.606848727835806,0.32980197505197506,0.7624539275313087,0.2001399089980273,0.15259745967130464
890.0,0.8906545454545454,0.982,0.982,0.982,0.9089870969704927,0.3809173626890728,0.31764165979664744,0.7666576445565142,0.12099522332991862,0.0927619129207048
895.0,0.893109090909091,0.981,0.981,0.981,0.9090104746138151,0.18303939070764522,0.30650725744843393,0.7664439842967037,0.0561029016508327,0.04299973147187033
900.0,0.8956363636363637,0.982,0.982,0.982,0.9090307128763639,0.07459910856284903,0.29516404494382026,0.7709828864286268,0.022018974632613698,0.01697625261845122
905.0,0.8981636363636363,0.981,0.981,0.981,0.9090484683933568,0.032848457109543074,0.28393010484273584,0.7708138856028064,0.009326665871034676,0.007189123559771322
910.0,0.9008363636363638,0.981,0.981,0.981,0.9090643206521456,0.016015202587731817,0.27266844919786093,0.7731211311503133,0.004366840453186404,0.0033760966307204193
915.0,0.9032181818181818,0.981,0.981,0.981,0.9090788009106376,0.0,0.26136383621874143,0.7751776167021682,0.0,0.0
920.0,0.9049454545454546,0.981,0.981,0.981,0.9090923990895251,0.0,0.24937780898876397,0.7766716480004384,0.0,0.0
925.0,0.9075454545454545,0.982,0.982,0.982,0.9091055704621656,0.0,0.23599527559055128,0.781298819633441,0.0,0.0
930.0,0.9090545454545454,0.981,0.981,0.981,0.9091187419903718,0.0,0.22186292134831465,0.7802208932331808,0.0,0.0
935.0,0.9118363636363636,0.982,0.982,0.982,0.9091323214851535,0.0,0.20809829867674853,0.7850159288043624,0.0,0.0
940.0,0.9126545454545457,0.98,0.98,0.98,0.9091467055779932,0.0,0.19705148573109735,0.7809417072839445,0.0,0.0
945.0,0.9135636363636366,0.981,0.981,0.981,0.9091622650740417,0.0,0.1920230092036815,0.7841284811777,0.0,0.0
950.0,0.9150909090909091,0.981,0.981,0.981,0.9091793655863648,0.0,0.18576972760460547,0.7854541408630952,0.0,0.0
955.0,0.9156363636363636,0.982,0.982,0.982,0.9091983669545027,0.0,0.17215477528089893,0.7883446819818289,0.0,0.0
960.0,0.9160727272727271,0.982,0.982,0.982,0.9092196253021687,0.0,0.15951432584269673,0.7887388237877374,0.0,0.0
965.0,0.9167454545454546,0.982,0.982,0.982,0.9092434941982519,0.0,0.1482182385035075,0.7893387633520267,0.0,0.0
970.0,0.917418181818182,0.982,0.982,0.982,0.909270324910367,0.0,0.13679329301814186,0.7899413064467589,0.0,0.0
975.0,0.917818181818182,0.982,0.982,0.982,0.9093004716284158,0.0,0.12472283066554327,0.790311927542789,0.0,0.0
980.0,0.918109090909091,0.981,0.981,0.981,0.9093343168431292,0.0,0.11208340353833197,0.7881790568952328,0.0,0.0
985.0,0.9187090909090908,0.98,0.98,0.98,0.9093721609265084,0.0,0.10090140449438202,0.7863174175648036,0.0,0.0
990.0,0.9200727272727273,0.98,0.98,0.98,0.9094143026705349,0.0,0.09197140522875814,0.7875210387570034,0.0,0.0
995.0,0.920109090909091,0.982,0.982,0.982,0.9094609098065004,0.0,0.08683820224719106,0.7924243679120392,0.0,0.0
1000.0,0.9207272727272727,0.983,0.983,0.983,0.9095124981390884,0.0,0.08059426492617168,0.7954268236930052,0.0,0.0
1005.0,0.9210909090909092,0.981,0.981,0.981,0.909569326513961,0.0,0.07184030157642227,0.7909432503490302,0.0,0.0
1010.0,0.9213454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9096316275453386,0.0,0.06072325741890959,0.7984971034702677,0.0,0.0
1015.0,0.922018181818182,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9096996015566439,0.0,0.04965582805180496,0.7991398449344073,0.0,0.0
1020.0,0.9223272727272729,0.983,0.983,0.983,0.9097734794186889,0.0,0.04092909926103459,0.7970377234436166,0.0,0.0
1025.0,0.9221818181818183,0.982,0.982,0.982,0.9098533176246334,0.0,0.03422471910112358,0.7945521400834566,0.0,0.0
1030.0,0.9236363636363636,0.982,0.982,0.982,0.9099391771292665,0.0,0.02929411764705879,0.7958804741182195,0.0,0.0
1035.0,0.9239818181818182,0.983,0.983,0.983,0.9100310699660642,0.0,0.025208988764044878,0.7986935900534252,0.0,0.0
1040.0,0.924290909090909,0.983,0.983,0.983,0.9101289494956278,0.0,0.021342524509803888,0.7990467026996365,0.0,0.0
1045.0,0.9249636363636364,0.983,0.983,0.983,0.9102327071431892,0.0,0.018038202247191083,0.7997194336102109,0.0,0.0
1050.0,0.9252727272727275,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9103421701359716,0.0,0.014214460784313765,0.8025271205840768,0.0,0.0
1055.0,0.9258181818181821,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9104571003575627,0.0,0.011433707865168551,0.803101594118398,0.0,0.0
1060.0,0.9262545454545456,0.983,0.983,0.983,0.9105772376288807,0.0,0.009390931372549021,0.8011386706220863,0.0,0.0
1065.0,0.926909090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9107021795023661,0.0,0.00767415730337078,0.8042643395789941,0.0,0.0
1070.0,0.9272363636363636,0.983,0.983,0.983,0.9108314770589763,0.0,0.006652777777777765,0.8022117880791948,0.0,0.0
1075.0,0.9276363636363637,0.983,0.983,0.983,0.9109646424434222,0.0,0.005631460674157284,0.8026751893583546,0.0,0.0
1080.0,0.9277090909090908,0.983,0.983,0.983,0.9111011358612684,0.0,0.004610089869281039,0.8028583970086008,0.0,0.0
1085.0,0.9283636363636364,0.982,0.982,0.982,0.9112403719613594,0.0,0.003588764044943835,0.8010977961729109,0.0,0.0
1090.0,0.9288363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9113817272502522,0.0,0.003,0.8065379773749813,0.0,0.0
1095.0,0.9291454545454546,0.983,0.983,0.983,0.9115245483847274,0.0,0.003,0.8044751424131023,0.0,0.0
1100.0,0.9298181818181819,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9116681618709901,0.0,0.0022532092426187393,0.8076442727687287,0.0,0.0
1105.0,0.9298181818181819,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9118118695245007,0.0,0.0,0.8077715829767245,0.0,0.0
1110.0,0.9304363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9119549796389688,0.0,0.0,0.8084354882764985,0.0,0.0
1115.0,0.9307454545454548,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9120968138153844,0.0,0.0,0.8088298263078728,0.0,0.0
1120.0,0.9312727272727273,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9122367118305496,0.0,0.0,0.8094121622569374,0.0,0.0
1125.0,0.9317272727272727,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9123740407889332,0.0,0.0,0.809929137845706,0.0,0.0
1130.0,0.932,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9125082036358889,0.0,0.0,0.8102853467882422,0.0,0.0
1135.0,0.9323454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9126386468429831,0.0,0.0,0.8107015600208594,0.0,0.0
1140.0,0.9326545454545456,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9127648490861274,0.0,0.0,0.8110824668404246,0.0,0.0
1145.0,0.9330909090909093,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9128863342025231,0.0,0.0,0.8115699523471612,0.0,0.0
1150.0,0.9336363636363638,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9130027538213427,0.0,0.0,0.8121479290291821,0.0,0.0
1155.0,0.9339454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9131137860824956,0.0,0.0,0.8125155995972224,0.0,0.0
