wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_filter_sloan_u,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
875.0,0.8822727272727272,0.9675315313446012,0.9675315313446012,0.9675315313446012,0.0,0.1376146138440777,0.7990946749813226,0.0,0.0
880.0,0.8865454545454544,0.9683584532322156,0.9683584532322156,0.9683584532322156,0.0,0.13402081484606282,0.8050251558134107,0.0,0.0
885.0,0.8885090909090908,0.9691853751198299,0.9691853751198299,0.9691853751198299,0.0,0.12406901005822307,0.8088768980515605,0.0,0.0
890.0,0.8906545454545454,0.9698434939930797,0.9698434939930797,0.9698434939930797,0.0,0.10788891135602478,0.8124829554258992,0.0,0.0
895.0,0.893109090909091,0.9687434364422972,0.9687434364422972,0.9687434364422972,0.0,0.09831218589131824,0.8119528847885384,0.0,0.0
900.0,0.8956363636363637,0.9676433788915147,0.9676433788915147,0.9676433788915147,0.0,0.09665950831160151,0.8114797858057957,0.0,0.0
905.0,0.8981636363636363,0.9665433213407323,0.9665433213407323,0.9665433213407323,0.0,0.09671453642191397,0.81099736053823,0.0,0.0
910.0,0.9008363636363638,0.9662381518886008,0.9662381518886008,0.9662381518886008,0.0,0.09642195619231432,0.812640482993864,0.0,0.0
915.0,0.9032181818181818,0.967573858786882,0.967573858786882,0.967573858786882,0.0,0.08863640982804899,0.8181728248393189,0.0,0.0
920.0,0.9049454545454546,0.968909565685163,0.968909565685163,0.968909565685163,0.0,0.07957878287062303,0.8231370188870821,0.0,0.0
925.0,0.9075454545454545,0.970245272583444,0.970245272583444,0.970245272583444,0.0,0.07408619134558095,0.8289207133068085,0.0,0.0
930.0,0.9090545454545454,0.9710749148308184,0.9710749148308184,0.9710749148308184,0.0,0.07061737133979955,0.8324308156816692,0.0,0.0
935.0,0.9118363636363636,0.9711970366043756,0.9711970366043756,0.9711970366043756,0.0,0.06801483013846286,0.8352932144804879,0.0,0.0
940.0,0.9126545454545457,0.9713191583779328,0.9713191583779328,0.9713191583779328,0.0,0.06596592894153405,0.8363581355047803,0.0,0.0
945.0,0.9135636363636366,0.9714412801514899,0.9714412801514899,0.9714412801514899,0.0,0.062127534820207685,0.8375070421327382,0.0,0.0
950.0,0.9150909090909091,0.9715246542791777,0.9715246542791777,0.9715246542791777,0.0,0.05663572941102709,0.8391231819841211,0.0,0.0
955.0,0.9156363636363636,0.9715704499442618,0.9715704499442618,0.9715704499442618,0.0,0.05157497753262729,0.8397420946809924,0.0,0.0
960.0,0.9160727272727271,0.9716162456093458,0.9716162456093458,0.9716162456093458,0.0,0.047592776616351015,0.8402610971991923,0.0,0.0
965.0,0.9167454545454546,0.9716620412744299,0.9716620412744299,0.9716620412744299,0.0,0.04367110662141845,0.8409970576059711,0.0,0.0
970.0,0.917418181818182,0.9716439026827315,0.9716439026827315,0.9716439026827315,0.0,0.03964818490351113,0.8415670672426335,0.0,0.0
975.0,0.917818181818182,0.9715828417959528,0.9715828417959528,0.9715828417959528,0.0,0.03876993626292473,0.841775277028674,0.0,0.0
980.0,0.918109090909091,0.9715217809091741,0.9715217809091741,0.9715217809091741,0.0,0.03876993626292473,0.8418833347615619,0.0,0.0
985.0,0.9187090909090908,0.9714607200223954,0.9714607200223954,0.9714607200223954,0.0,0.03529609731277169,0.842274687136241,0.0,0.0
990.0,0.9200727272727273,0.9716731115703352,0.9716731115703352,0.9716731115703352,0.0,0.03019739820851446,0.844078255547737,0.0,0.0
995.0,0.920109090909091,0.9720089464476175,0.9720089464476175,0.9720089464476175,0.0,0.02509869910425723,0.8449871573919515,0.0,0.0
1000.0,0.9207272727272727,0.9723447813248997,0.9723447813248997,0.9723447813248997,0.0,0.02,0.8464316035751605,0.0,0.0
1005.0,0.9210909090909092,0.9726806162021819,0.9726806162021819,0.9726806162021819,0.0,0.019,0.847643585162323,0.0,0.0
1010.0,0.9213454545454546,0.973040253754296,0.973040253754296,0.973040253754296,0.0,0.018,0.8488186605095258,0.0,0.0
1015.0,0.922018181818182,0.9734066190749674,0.9734066190749674,0.9734066190749674,0.0,0.017,0.8503982748414107,0.0,0.0
